SampleName,SampleCode,Latitude,Longitude,DepthWater,Temp,Cond,Sal,PAR,Turbidity,pH,OXYGEN,NO3,NO2,NH4,PO4,SiOH4,POC,PON,DOC,DON,Fluorometer,Chl,PlankNanoMicro,PlankMesoMacro,PP_C,BactprodC
OSD99,OSD99,45.701,13.71,1,20.82,47.278,33.93,1432.95,0.29,8.27,208.31,2.321,0.051,0.547,0.012,3.496,116.4,,116.442,,,0.49,1150000,10710.86,,9.37
OSD98,OSD98,38.64,-28.13,0.5,18.7,,35.6,,,,,,,,,,,,,,,,,,,
OSD97,OSD97,38.53,-28.602,0.5,16.9,,35.6,,,,,,,,,,,,,,,,,,,
OSD96,OSD96,37.426,-25.316,0,18.5,27.9,35,,,7.6,9.02,,,,,,,,,,,,,,,
OSD95,OSD95,1.268,103.917,0,31,53.3,31.03,,,7.9,171,,,,,,,,,,,,,,,
OSD94,OSD94,35.086,-2.215,0,23.6,51.37,31,,,8.01,7,0.15,0.02,,0.27,,1,,252,,,0.54,,,,
OSD93,OSD93,33.26,-8.499,2,19,478000,32.88,,8.61,8.36,0.78,111.76,0,,,0.5,,,,,,,,,,
OSD92,OSD92,33.584,-7.701,2,24,44700,30.75,,3.75,8.15,0.78,105.01,0,,,0.5,,,,,,,,,,
OSD91,OSD91,32.747,-9.037,2,19,39600,27.24,,3,8.15,0.7,107.93,0,,,0.5,,,,,,,,,,
OSD90,OSD90,38.484,21.317,2,26.29,,15.09,,0.1,8.36,,0.016,0.003,0.043,0.012,,,,,,,3.75,,,,
OSD9,OSD9,33.55,-118.4,0,19.2,4.54,33.56,2058.448,,,222.449,,0,0,,,,,,,0.03,,1.26992E+12,,,3.57
OSD81,OSD81,37.005,-7.973,0,22.2,,34.3,,,7.99,7.86,,,1.154,,,,,,,,,,,,
OSD80_0,OSD80_0,74.31,-20.304,0,-0.1,,5,,,,,,,,,,,,,,,,,,,
OSD78,OSD78,43.57,13.595,0.5,24.25,,34.33,,,,,,,,,,,,,,,,,,,
OSD77,OSD77,43.851,13.073,0.5,24.1,,26.29,,,8.5,,7.4,0.1,0.76,0.6,4.67,,,,0.23,,,540444,,,
OSD76,OSD76,43.948,12.935,0.5,23.61,,27.78,,,8.4,,4.8,0.08,0.68,0.31,3.8,,,,0.22,,,13205333,,,
OSD74,OSD74,41.142,-8.667,1,20.2,,13.75,,,7.83,9.08,58.92,1.18,7.24,3.96,21.17,3000,,,,,,,,,
OSD73,OSD73,41.684,-8.834,1,18.4,,32.3,,,8.25,8.03,12.16,0,1.38,3.52,12.08,6830,,,,,,,,,
OSD72,OSD72,54.833,10,0.8,13.99,19.853,14.25,,,7.01,9.426,0.03,0.07,0.06,0.03,5.95,,,,,,,,,,
OSD71,OSD71,-45.744,170.771,0,10.99,54.5,35.2,,,8.35,9.05,5.24,,,,,,,,,,1.7,,,,0.167
OSD70,OSD70,45.414,12.438,0,23.4,,31.67,,,8.24,5.47,3.81,0.35,3.81,0.145,12.96,,,,,,2.62,,,,
OSD7,OSD7,-17.289,-149.54,0.1,27,55.7,37,,,,,,,,,,,,,,,,,,,
OSD69,OSD69,45.457,12.26,0,25.7,,29.41,,,7.83,5.01,7.69,0.37,1.94,0.24,14.07,,,,,,4.11,,,,
OSD65,OSD65,-36.293,174.819,0.1,16,,34,,,8.34,,1.1,0.17,0.3,,,,,,,,,,,,
OSD64,OSD64,46.442,30.776,1,20.3,32.2,17.63,,,8.4,,1,2,1,1,,,,,,,,,,,
OSD63,OSD63,45.314,12.508,0,21.78,46.894,32.77,,2.77,8.65,302.7,6.17,0.17,0.6,0.06,5.52,,,,,0.34,0.93,,,,
OSD62,OSD62,53.225,-4.159,0.2,16,,34,,,,,,,,,,,,,,,,,,,
OSD61,OSD61,41.524,-70.672,0.5,19.2,,30.7,,,,7.38,,,,,,,,,,,,,,,
OSD60,OSD60,33.323,-79.168,0.1,27.77,53.34,35.13,,,7.92,,,,,,,,,,,,,,,,
OSD6,OSD6,41.667,2.8,0,20.66,,37.83,2055,,,,,,,,,,,,,0.14,0.15,,,,
OSD58,OSD58,34.718,-76.671,1,25.8,,35.8,,5.03,,,,,,,,,,,,2.26,6.71,,,,
OSD57,OSD57,21.287,-157.844,0,27.58,,34,,,,,,,,,,,,,,,,,,,
OSD56,OSD56,21.289,-156.864,0,26.06,,35,,,,,,,,,,,,,,,,,,,
OSD55,OSD55,43.86,-69.578,1,12.5,,32,,,,,,,,,,,,,,,,,,,
OSD54,OSD54,43.844,-69.641,1,11.9,,31,,,,,,,,,,,,,,,,,,,
OSD53,OSD53,27.042,33.907,1,27.28,60.16383333,38.35,,,8.218,204.635,,,,,,,,,,,,,,,
OSD52,OSD52,27.025,33.913,1,27,59.8573333,38.33,,,8.22,191.125,,,,,,,,,,,,,,,
OSD51,OSD51,9.348,-82.266,2,29.1,52.7,34.6,,,8.12,1866.66,,,,,,,,,,,,,,,
OSD50,OSD50,43.333,-1.925,0,20,,34.3,97.9,0.64,8.34,,1.6,0.84,1.7,0.16,1.63,,,,,,,,,,
OSD5_1,OSD5_1,35.661,24.99,1,24.46,58.14,39.29,1217.4,,8.2,,,,,,,,,,,-0.11,,,,,
OSD49,OSD49,45.326,13.332,2,22,,34,,,8.3,,2.59,0.018,,0.067,,,,,,,0.3,,,,
OSD48,OSD48,45.412,12.526,0,22.2,,33.14,,,8.28,7.31,4.89,0.17,4.92,0.09,6.33,,,,,,1.5,,,,
OSD47,OSD47,45.502,12.418,0,25.3,,27.42,,,7.67,4.26,1.75,1.24,2.01,0.165,13.37,,,,,,3.18,,,,
OSD46,OSD46,30.248,-88.748,0,29.8,,17.5,,,,,,,,,,,,,,,,,,,
OSD45,OSD45,27.616,-82.726,0,31.2,,33.84,,11.2,8.23,,,,,,,,,,,,,,,,
OSD43,OSD43,32.867,-117.257,0,20.04,51.064,33.54,,,7.92,257.73,0.07,0.02,0,0.18,0.5,,,83.9,,0.96,,,,,
OSD42,OSD42,38.269,15.637,3,20,,36.8,,,,,,,,,,,,,,,,,,,
OSD41,OSD41,48.041,-123.026,1,15.9,32055,24.73,,,,,0.3,1.47,24.5,0.931,37.1,,,,,,305.7,,,,
OSD4,OSD4,40.808,14.25,0,23.3,53306.44746,36.88,,,8.11,200.59,0.59,0.09,0.61,0.24,1.86,,,,,1.9,,328176408,1548,,
OSD38,OSD38,24.745,-80.784,0,29.6,,36.25,,0.23,7.89,,,,,,,,,,,,,,,,
OSD37,OSD37,26.103,-80.093,1,27.7,,33.82,,1.61,8.03,,,,,,,,,,,,,,,,
OSD36,OSD36,39.332,-75.47,0.5,23.55,12.55,7.42,,,,392.86,,,,,,,,,,,,,,,
OSD35,OSD35,38.679,-76.174,1,26.32,15.41,8.97,,9,7.98,260.37,,,,,,,,,,,,,,,
OSD34,OSD34,31.217,29.967,0,27,57.4,36,,,8.01,,,,,,,,,,,,,,,,
OSD30,OSD30,59.882,23.254,2,10.5,7.203,5.63,,,7.85,10.46,,,,0.2,8.1,,,,,,,,,,
OSD3,OSD3,54.182,7.9,0,14,,32.59,,,8.11,,2.86,0.12,0.93,0.1,3.37,,,,,,,,,,
OSD29,OSD29,27.469,-80.283,0.2,26.9,,35.7,,,,5.6,,,,,,,,,,,,,,,
OSD28,OSD28,16.803,-88.082,0.2,29.5,,35,,,,,,,,,,,,,,,,,,,
OSD26,OSD26,35.82,-5.75,0,28,49.7,34.19,,,7.69,,,,,,,,,,,,,,,,
OSD25,OSD25,35.086,-2.215,0,23.1,51.1,30,,,8.03,7,0.67,0.01,,0.16,,243,,475,,,0.18,,,,
OSD24,OSD24,35.193,-2.88,0,26.5,52.03,36,,3.62,7.89,7.78,12.5,0.2,,0.25,,,,1150,,,,,,,
OSD22,OSD22,43.226,5.1746,1,22,53.85,38.09,1335.2,2.436,,4.941,0.026,0,0.025,0.16,1.729,,,,,,2.8,,,,
OSD21,OSD21,45.08,13.61,0,19.5,,37.1,,,,,,,,,,,,,,,,,,,
OSD20_0,OSD20_0,64.208,-22.015,0,11,,31.2,,,,,,,,,,,,,,,,,,,
OSD2,OSD2,48.778,-3.938,0,14.38,,35.13,1362,,8.02,282.7,1.3,0.11,0.58,0.1,0.9,112.2,14.3,,,,1.22,,,,
OSD19,OSD19,35,33,2,29,,39.1,,,,,,,,,,,,,,,,,,,
OSD186,OSD186,38.886,-76.542,2.4,26.8,,7.2,,,,6.2,,,,,,,,,,37.6,,,,,
OSD185,OSD185,51.482,2.451,3,16.11,43.901,34.9,,31.6838,,,,,,,,,,,,,,,,,
OSD184,OSD184,51.683,2.415,3,15.83,43.778,35.03,,32.7885,,,,,,,,,,,,,,,,,
OSD183,OSD183,51.748,2.698,3,15.8,43.719,35.01,,35.3221,,,,,,,,,,,,,,,,,
OSD182,OSD182,51.458,2.35,3,15.71,43.62,35,,32.8653,,,,,,,,,,,,,,,,,
OSD18,OSD18,35.364,33.29,75,20.7,,38.5,,,8.37,8.02,0.2,0.05,0.96,0.03,1.13,,,,,,,,,,
OSD178,OSD178,51.58,2.79,3,16.76,44.085,34.5,,34.4327,,,,,,,,,,,,,,,,,
OSD177,OSD177,51.186,2.702,3,18.74,43.753,32.58,,33.3947,,,,,,,,,,,,,,,,,
OSD176,OSD176,51.278,2.614,3,18.12,44.104,33.37,,30.4286,,,,,,,,,,,,,,,,,
OSD175,OSD175,51.335,2.502,3,17.22,44.294,34.29,,31.7091,,,,,,,,,,,,,,,,,
OSD174,OSD174,51.472,3.059,3,17.94,43.935,33.37,,34.5691,,,,,,,,,,,,,,,,,
OSD173,OSD173,51.441,3.14,3,18.18,43.872,33.13,,40.2835,,,,,,,,,,,,,,,,,
OSD172,OSD172,51.375,3.218,3,18.48,43.219,32.34,,34.3859,,,,,,,,,,,,,,,,,
OSD171,OSD171,51.307,2.849,3,18.26,43.568,32.81,,34.5436,,,,,,,,,,,,,,,,,
OSD170,OSD170,51.27,2.905,3,18.62,43.251,32.26,,47.8778,,,,,,,,,,,,,,,,,
OSD17,OSD17,51.435,2.811,3,16.68,43.472,34.03,,32.8782,,,,,,,,,,,,,,,,,
OSD169,OSD169,51.796,1.013,0.1,18.5,35.2,35.2,,,8.28,,3.842,1.712,0.458,1.426,7.554,,,,,,,,,,
OSD168,OSD168,38.413,27.034,2,25.74,58.32,38.3,,,8.29,268.671,0.123,0.196,0.671,4.563,3.83,357.96,0.399,,,,9.06,6601571754,,,
OSD167,OSD167,65.706,-18.118,0.1,11,1.1,1.1,,,,,,,,,,,,,,,,,,,
OSD165,OSD165,57.85,-5.65,2,14.3,,32.45,,,,,,,,,,,,,,,,,,,
OSD163,OSD163,58.957,-2.973,2,11.7,,34.44,,,,,,,,,,,,,,,,,,,
OSD162,OSD162,56.963,-2.103,1,12.2,,34.32,,,,,,,,,,,,,,,,,,,
OSD159,OSD159,48.359,-4.552,2,16,,34.78,1341,,8.1,239.48,0.274,0.03,0.285,0.034,1.664,169.98,31.06,,,,1,,,,
OSD158,OSD158,37.433,-25.19,0,19.2,26.9,35.7,,0.4,7.43,327.5,,,,,,,,,,,,,,,
OSD157_1,OSD157_1,59.622,10.628,1,18,,26.12,,,,,,,,,,,,,,,,,,,
OSD156_1,OSD156_1,59.9,10.72,1,17.8,,30.05,,,,,,,,,,,,,,,,,,,
OSD155_1,OSD155_1,59.816,10.599,1,18.7,,30.05,,,,,,,,,,,,,,,,,,,
OSD154,OSD154,44.667,-1.167,1,20.7,,32.4,,,8.05,231.4,1,0.04,1.21,0.04,4.8,,,,,,1.16,,,,
OSD153,OSD153,36.998,-7.973,0,21.1,,34.4,,,8.15,8.83,,,0.384,,,,,,,,,,,,
OSD152_1,OSD152_1,44.694,-63.64,1,12.8,3437,28.9,2.58,,8.2,294,,,,,,,,,,2.2,,,,,
OSD151,OSD151,-34.42,-54.16,0,11.67,37.5,32.86,,,8.16,15.6,21.7,1.1,11.2,,,,,233.333,,,,,,,
OSD150,OSD150,-34.676,-54.275,0,9.99,20.94,18,,,,,3.5,,11.2,,,,,366.667,,,,,,,
OSD15_0,OSD15_0,43.686,7.316,0,21.78,,37.97,,,,4.848,,,,,,,,,,0.75,,,,,
OSD149,OSD149,-34.37,-54.16,0,10.98,20940,14.3,,,,,3.8,,7.7,,,,,383.333,,,,,,,
OSD148,OSD148,53.581,8.149,0,17.77,4060,31.14,,,,9.1,,,,,,,,,,6.69,,,,,
OSD146,OSD146,78.453,-2.83,5,-1.61,26.78,33.78,,,,358.41,,,,,,,,,,,,,,,
OSD145,OSD145,51.361,3.119,0,17,,100,,,,,,,,,,,,,,,,,,,
OSD144,OSD144,21.269,-157.722,0,25.8,,35,,,,,,,,,,,,,,,,,,,
OSD143,OSD143,31.983,-81.017,1,30.79,,26.58,,20.4,7.53,5.85,,,,,,,,,,5.3,4.97,,,,
OSD142,OSD142,31.384,-80.867,1,27.43,,35.85,,0.8325,7.97,7.99,0.3,,0.1,,,,,112.21,6.9,5.5,,,,,
OSD141,OSD141,60.161,5.115,5,10.13,,30.67,,0.59,7.91,,,,,0.2,0.4,,,,,,,9.8E+11,,,
OSD14,OSD14,42.49,3.15,2,20.45,51.85,37.83,,0.44,8.278,224.06,0.02,0.01,0.074,0.01,0.6,1423.686,236.43,,,0.26,0.26,,,,2.63
OSD133,OSD133,-33.897,18.387,0,15.06,,35.16,,0.56,6.5,95.87,,,,,,,,,,6.48,,,,,
OSD132,OSD132,32.069,34.843,0.5,27.3,,39.35,,,8.18,,1.57,0.06,,,2.56,,,,,,0.22,,,,
OSD131,OSD131,42.413,27.669,1,22.5,,14.3,,,,,,,,,,,,,,,,,,,
OSD130,OSD130,66.132,-18.79,1,10.1,,48,,,,,,,,,,,,,,,,,,,
OSD13,OSD13,43.176,27.909,0,22.87,,12.6,,,,,,,,,,,,,,,,,,,
OSD129,OSD129,65.817,-18.102,10,9.9,61.5,61.5,,,,,,,,,,,,,,,,,,,
OSD125,OSD125,55.033,-1.433,0,16.04,35.2,26.4,,13.5,8.5,50,,,,,,,,,,,,,,,
OSD124,OSD124,34.324,135.121,5,21.15,,33.19,,,,,,,,,,,,,,,,,,,
OSD123,OSD123,32.822,32.954,4,27,,39.4,,,,,0.34,,,0.02,,,,,,,,,,6.7,4
OSD122,OSD122,29.467,34.929,0,24,,40.5,,,,,0.25,0.01,,,0.69,,,,,,,,,,
OSD118,OSD118,51.742,-8.311,0.2,18,,38,,,8.93,,0.8065,0.544,2.778,5.265,,,,,,,,,,,
OSD117,OSD117,37.167,-7.504,0,23.64,,37.93,,,,,,,,,,,,,,,,,,,
OSD116,OSD116,39.415,-9.219,0,24.7,,22.5,,,,,,,,,,,,,,,,,,,
OSD115,OSD115,39.134,-9.385,0,20.3,,40,,,,,,,,,,,,,,,,,,,
OSD114,OSD114,34.41,-9.51,1,18.5,,33.57,,,8.14,,0.8675,0.02,1.305,0.128,1.622,,,,,,,,,,
OSD113,OSD113,38.667,-9.437,39,18,,35.27,,,8.5,,1.4225,0.055,3.515,0.65,6.135,,,,,,,,,,
OSD111,OSD111,40.66,-8.704,0,25.2,,30,,,,,,,,,,,,,,,,,,,
OSD110,OSD110,40.145,-8.869,0,23,,22.5,,,,,,,,,,,,,,,,,,,
OSD109,OSD109,38.677,-9.012,0,20.5,,30,,,,,,,,,,,,,,,,,,,
OSD108,OSD108,38.757,-8.966,0,20.1,,30,,,,,,,,,,,,,,,,,,,
OSD107,OSD107,39.14,-9.38,0,20.2,,30,,,,,,,,,,,,,,,,,,,
OSD106_0,OSD106_0,65.945,-22.419,0,7.6,,19,,,,,,,,,,,,,,,,,,,
OSD105,OSD105,69.023,-105.343,4.1,-0.72,,26.91,,,,,,,,,,,,,,,,,,,
OSD103,OSD103,32.775,-16.829,0,20.2,,37,,,,,,,,,,,,,,,,,,,
OSD102,OSD102,32.646,-16.91,0,20.8,,36,,,,,,,,,,,,,,,,,,,
OSD101,OSD101,32.742,-16.711,0,20.5,,37,,,,,,,,,,,,,,,,,,,
OSD100_1,OSD100_1,35.35,25.29,1,24.21,57.59,39.05,312.83,,8.2,,,,,,,,,,,0.04,,,,,
OSD1,OSD1,50.151,-4.13,0,16.66,,35.22,734.55,0.47,,245.46,,,,,,,,,,,,,,,
OSD164,OSD164,60.143,-1.282,2,12.2,,35.14,,,,,,,,,,,,,,,,,,,
